Name,Parent,Type,Size
BxProApp.cs,BxProCore,F,19120
C.cs,BxProCore,F,5220
TransactionNotificationDefinitions.cs,BxProCore,F,41732
Services,BxProCore,D,0
BxConfigurationExtendedGroupEnum.cs,Services,F,437
BxConfigurationOptionDef.cs,Services,F,2220
BxProConfigService.cs,Services,F,32505
BxProDatabaseManager.cs,Services,F,784
BXProPostOfficeService.cs,Services,F,532
BxProServiceManager.cs,Services,F,1440
BXProValidValues.cs,Services,F,1477
UI,BxProCore,D,0
BxConfigurationExtendedGroupEnum.cs,BxProCore,F,437
BxConfigurationOptionDef.cs,BxProCore,F,2220
BxProConfigService.cs,BxProCore,F,32505
BxProDatabaseManager.cs,BxProCore,F,784
BXProPostOfficeService.cs,BxProCore,F,532
BxProServiceManager.cs,BxProCore,F,1440
BXProValidValues.cs,BxProCore,F,1477
BxActivityPaneForm`1.cs,BxProCore,F,5917
BxActivityStructurePane.cs,BxProCore,F,44845
BxActivityStructurePane.resx,BxProCore,F,19702
BxBrowserForMakeEverythingOK.cs,BxProCore,F,2101
BxBrowserForMakeEverythingOK.resx,BxProCore,F,5814
BxBrowserWrapperForDepartmentPlanning.cs,BxProCore,F,4781
BxBrowserWrapperForDepartmentPlanning.resx,BxProCore,F,5814
BxBrowserWrapperForMasterPlanning.cs,BxProCore,F,5635
BxBrowserWrapperForMasterPlanning.resx,BxProCore,F,5814
BXProBudgetVersionRestore.cs,BxProCore,F,20996
BXProBudgetVersionRestore.resx,BxProCore,F,19430
BXProBudgetVersionRestoreForm.cs,BxProCore,F,1080
BXPROFormBase.cs,BxProCore,F,809
BXProImportProject.cs,BxProCore,F,30107
BXProImportProject.resx,BxProCore,F,19486
BXProImportProjectForm.cs,BxProCore,F,1345
BxProTimeSheetApprovalBase.cs,BxProCore,F,12476
BxProTimeSheetApprovalBase.resx,BxProCore,F,19717
BxProTimeSheetForm`1.cs,BxProCore,F,882
BxProTimeSheetPost.cs,BxProCore,F,31001
BxProTimeSheetPost.resx,BxProCore,F,11675
BxProTimeSheetProjectApprove.cs,BxProCore,F,11892
BxProTimeSheetTreeView.cs,BxProCore,F,32130
BxProTimeSheetTreeView.resx,BxProCore,F,11675
BxProTimeSheetWeekApprove.cs,BxProCore,F,13228
BxProUIFactory.cs,BxProCore,F,1391
Frm_FilterTimesheets.cs,BxProCore,F,20259
Frm_LogBase.cs,BxProCore,F,939
Frm_LogForTimeSheetClose.cs,BxProCore,F,1399
Frm_Settings.cs,BxProCore,F,1430
Frm_TMCEmployeePassword.cs,BxProCore,F,3646
Frm_UpdateProjectData.cs,BxProCore,F,4048
Grid_LogBase.cs,BxProCore,F,1002
Grid_LogForTimeSheetClose.cs,BxProCore,F,1310
IStructureParent.cs,BxProCore,F,754
StructureType.cs,BxProCore,F,393
TimeSheetProjectNode.cs,BxProCore,F,2558
TimeSheetProjectNodeType.cs,BxProCore,F,465
TimeSheetWeekNode.cs,BxProCore,F,4325
TimeSheetWeekNodeType.cs,BxProCore,F,447
